tick,greedy,robot,m,p_x,planned_wticks,task,search_ticks,x,y,seed
17.050,true,qupa_27,0.000000,0.500000,60.000,TYPE_A,17.050,0,0,312603905
91.050,true,qupa_27,1.900000,0.869892,59.149,TYPE_A,12.000,0,0,312603905
172.050,true,qupa_27,4.700000,0.009013,60.000,TYPE_B,20.000,0,0,312603905
289.050,true,qupa_27,0.900000,0.710950,55.246,TYPE_A,56.600,0,0,312603905
354.049,true,qupa_27,3.700000,0.975873,27.524,TYPE_A,7.800,0,0,312603905
415.050,true,qupa_27,4.600000,0.990048,18.147,TYPE_A,32.000,0,0,312603905
439.050,true,qupa_27,7.400000,0.999389,8.597,TYPE_A,4.000,0,0,312603905
512.049,true,qupa_27,7.300000,0.000675,60.000,TYPE_B,62.800,0,0,312603905
602.050,true,qupa_27,5.400000,0.004496,59.149,TYPE_B,29.000,0,0,312603905
668.050,true,qupa_27,2.600000,0.069138,48.826,TYPE_B,5.000,0,0,312603905
722.050,true,qupa_27,-0.200000,0.450166,10.300,TYPE_A,4.000,0,0,312603905
739.049,true,qupa_27,1.700000,0.845535,8.212,TYPE_A,6.000,0,0,312603905
839.050,true,qupa_27,0.600000,0.354344,58.471,TYPE_B,90.000,0,0,312603905
908.050,true,qupa_27,-2.200000,0.900250,42.688,TYPE_B,8.000,0,0,312603905
974.050,true,qupa_27,-4.100000,0.016302,14.045,TYPE_A,21.000,0,0,312603905
1050.050,true,qupa_27,-1.100000,0.750260,52.599,TYPE_B,60.000,0,0,312603905
1290.050,true,qupa_27,0.000000,0.500000,59.857,TYPE_B,184.200,0,0,312603905
1362.050,true,qupa_27,-2.800000,0.057324,60.000,TYPE_A,11.000,0,0,312603905
1465.050,true,qupa_27,0.000000,0.500000,59.684,TYPE_A,42.000,0,0,312603905
1531.050,true,qupa_27,1.900000,0.869892,57.957,TYPE_A,5.000,0,0,312603905
